industry_id,industry_descr,term,estimate,std.error,conf.low,conf.high,p.value
1,Wheat,eac_to_af,-0.20037308617680594,0.04537187135220901,-0.2893003199383202,-0.11144585241529165,1.004324386157427e-5
1,Wheat,af_to_eac,-0.30787588270524313,0.04137934739101612,-0.38897791329540615,-0.2267738521150801,1.004362398257285e-13
2,Rice (raw),eac_to_af,-0.3288235072691579,0.05490305501030223,-0.4364315177305716,-0.22121549680774416,2.109198750104432e-9
2,Rice (raw),af_to_eac,-0.2644174380700661,0.03778948308348407,-0.3384834639080805,-0.19035141223205174,2.6128291207576816e-12
3,Corn,eac_to_af,-0.4004430932358483,0.04248972374514338,-0.4837214214893857,-0.31716476498231094,4.322864058048596e-21
3,Corn,af_to_eac,-0.1450270979510935,0.03242477188705691,-0.2085784830566519,-0.08147571284553512,7.722895735541194e-6
4,Other cereals,eac_to_af,-0.30993995458063517,0.04523405158023196,-0.39859706655271687,-0.22128284260855344,7.286697307391613e-12
4,Other cereals,af_to_eac,-0.197445720951552,0.04103695657515979,-0.27787667787399933,-0.11701476402910467,1.4986743306917311e-6
5,Cereal products,eac_to_af,-0.0860519071320063,0.053444520700074334,-0.19080124287515737,0.018697428611144762,0.10737241533638427
5,Cereal products,af_to_eac,-0.15798965367374296,0.056392355640429694,-0.2685166397323593,-0.0474626676151266,0.005084755891231028
6,Soybeans,eac_to_af,-0.37765192711429063,0.07703937104829021,-0.5286463197605572,-0.22665753446802409,9.483492889405376e-7
6,Soybeans,af_to_eac,-0.2630471859802178,0.04626694322144412,-0.3537287283690078,-0.17236564359142778,1.3048856165738696e-8
7,Other oilseeds (excluding peanuts),eac_to_af,-0.4879116838385229,0.0346212538807028,-0.555768094544318,-0.42005527313272784,4.203309579987024e-45
7,Other oilseeds (excluding peanuts),af_to_eac,-0.22782785822535412,0.04346190201236238,-0.31301162086919326,-0.14264409558151497,1.588341198084953e-7
8,Animal feed ingredients and pet foods,eac_to_af,-0.011953182025299058,0.03981909339654727,-0.08999717097956839,0.06609080692897026,0.7640343704851893
8,Animal feed ingredients and pet foods,af_to_eac,-0.015886097213350235,0.02500991193413855,-0.06490462386078028,0.0331324294340798,0.5253031680859357
9,Raw and refined sugar and sugar crops,eac_to_af,-0.12067998380240313,0.3201622093540053,-0.7481863833470261,0.50682641574222,0.7062227426754786
9,Raw and refined sugar and sugar crops,af_to_eac,-2.504614705803835,0.3176323523885611,-3.1271626768101495,-1.8820667347975206,3.1387320220482202e-15
10,Other sweeteners,eac_to_af,-0.638091420342803,0.06433306012042421,-0.7641819011940845,-0.5120009394915215,3.4570202037109526e-23
10,Other sweeteners,af_to_eac,-0.3727682181193063,0.050481420966614544,-0.47170998510227596,-0.2738264511363367,1.5329721139551831e-13
11,"Pulses and legumes, dried, preserved",eac_to_af,-0.39081616216200266,0.03498372796042097,-0.4593830090093746,-0.3222493153146307,5.630578080108635e-29
11,"Pulses and legumes, dried, preserved",af_to_eac,-0.25426310065765306,0.035867595834850684,-0.32456229670599923,-0.1839639046093069,1.3514674967390826e-12
12,Fresh fruit,eac_to_af,-0.47725959428059034,0.03933170415333209,-0.5543483178717057,-0.400170870689475,6.956881548759026e-34
12,Fresh fruit,af_to_eac,-0.338206700816743,0.03987555251595428,-0.4163613476116489,-0.26005205402183706,2.2220355204724672e-17
13,Fresh vegetables,eac_to_af,-0.5654007958529941,0.06219817296251809,-0.6873069747637225,-0.44349461694226566,9.875528746800428e-20
13,Fresh vegetables,af_to_eac,-0.2402747285871767,0.03796461779393755,-0.31468401215012276,-0.16586544502423062,2.4689571256878045e-10
14,Prepared fruits and fruit juices,eac_to_af,-0.022598509509807213,0.03499564063763433,-0.09118870477547682,0.04599168575586239,0.5184398936179229
14,Prepared fruits and fruit juices,af_to_eac,0.0014120701821845882,0.033519498952901336,-0.06428494054533007,0.06710908090969925,0.9663975931385018
15,Prepared vegetables,eac_to_af,-11.87678079213947,5.554392283378728,-22.76318962356897,-0.9903719607099735,0.0324949760654057
15,Prepared vegetables,af_to_eac,-0.9008959069738012,0.6728225565140042,-2.2196038857274143,0.41781207177981194,0.1805772031434417
16,Nuts,eac_to_af,-0.24933914237959906,0.05139501137728464,-0.3500715136641033,-0.14860677109509488,1.2257636823087123e-6
16,Nuts,af_to_eac,-0.32958407601981,0.039025111970364665,-0.40607188997436766,-0.2530962620652523,3.029133869578381e-17
17,Live Cattle,eac_to_af,0.05572509765625,136059.5385498766,-266671.7395857995,266671.8510359948,0.999999673215156
17,Live Cattle,af_to_eac,-0.31805419921875,28465.32588503451,-55791.331597062584,55790.69548866415,0.9999910849243014
18,Live Swine,eac_to_af,-1.6580628174352796,0.8270976130014734,-3.279144350617215,-0.03698128425334457,0.04499768514982657
18,Live Swine,af_to_eac,-6.483881705134834,2.049396129162219,-10.500624308348579,-2.4671391019210898,0.0015572318460770316
19,Eggs,eac_to_af,-0.40939625305679617,0.040716304207258,-0.4891987428865985,-0.32959376322699385,8.745622332186638e-24
19,Eggs,af_to_eac,-0.4763390125758112,0.05393913478313189,-0.5820577741080014,-0.370620251043621,1.0370077459452875e-18
20,"Other meats, livestock products, and live animals",eac_to_af,-0.3684981963578514,0.06259107937906327,-0.49117445769430307,-0.24582193502139976,3.923382812980385e-9
20,"Other meats, livestock products, and live animals",af_to_eac,-0.1376802833046745,0.037525985181631215,-0.2112298627450554,-0.06413070386429358,2.4356596327344498e-4
21,Cocoa and cocoa products,eac_to_af,1.073670320212841,0.43998323787411586,0.21131902017825466,1.9360216202474274,0.01467698779872352
21,Cocoa and cocoa products,af_to_eac,-0.7118938265869517,0.10383004166061771,-0.9153969687550557,-0.5083906844188476,7.064827177985316e-12
22,"Beverages, nec",eac_to_af,-0.12626305764150225,0.04021583674807258,-0.2050846492758669,-0.0474414660071376,0.0016915832368251445
22,"Beverages, nec",af_to_eac,-0.2816456559888143,0.054734029996530195,-0.3889223835107484,-0.17436892846688018,2.6650541103662433e-7
23,Cotton,eac_to_af,-0.03784709313259704,0.02624800421678141,-0.08929223606354406,0.013598049798349977,0.14932955587975155
23,Cotton,af_to_eac,0.042455531598304105,0.031179965522041195,-0.018656077864097245,0.10356714106070546,0.17331513684616712
24,Tobacco leaves and cigarettes,eac_to_af,-0.37589281657494933,0.04541391251681748,-0.46490244950496434,-0.2868831836449343,1.2627374025728503e-16
24,Tobacco leaves and cigarettes,af_to_eac,-0.2719743829994651,0.029800218926629318,-0.3303817388270674,-0.21356702717186277,7.06907772441024e-20
