industry_id,industry_descr,term,estimate,std.error,conf.low,conf.high,p.value
1,Wheat,afcfta_brdr,-0.22206019134723254,0.02729038930322481,-0.2755483715056303,-0.16857201118883477,4.0540195511876304e-16
2,Rice (raw),afcfta_brdr,-0.2556147021422884,0.02200662418749371,-0.2987468929710841,-0.2124825113134927,3.4436431015023284e-31
3,Corn,afcfta_brdr,-0.25753466084951115,0.020908784852489596,-0.2985151261208874,-0.21655419557813493,7.332299272482805e-35
4,Other cereals,afcfta_brdr,-0.2758436070602614,0.021246530379028468,-0.31748604139959336,-0.23420117272092947,1.5278618199317567e-38
6,Soybeans,afcfta_brdr,-0.3100735923204289,0.04462117295443304,-0.3975294842590504,-0.22261770038180745,3.678225293106913e-12
7,Other oilseeds (excluding peanuts),afcfta_brdr,-0.3357272788159255,0.01924252933825753,-0.3734419432903656,-0.2980126143414854,3.6184795773145107e-68
9,Raw and refined sugar and sugar crops,afcfta_brdr,-0.7665651969506648,0.04937143516672295,-0.863331431742496,-0.6697989621588336,2.2960077439953006e-54
10,Other sweeteners,afcfta_brdr,-0.35370833388628947,0.030738896265773988,-0.41395546349171924,-0.2934612042808597,1.2182678698221671e-30
11,"Pulses and legumes, dried, preserved",afcfta_brdr,-0.24804396705920972,0.02102683289383396,-0.2892558022400664,-0.20683213187835306,4.0667095711129905e-32
12,Fresh fruit,afcfta_brdr,-0.3470388279571604,0.0216687833671431,-0.3895088629455614,-0.3045687929687594,9.942356420928067e-58
13,Fresh vegetables,afcfta_brdr,-0.3870119860161156,0.02094459058771638,-0.4280626292389763,-0.34596134279325486,3.110723634563459e-76
16,Nuts,afcfta_brdr,-0.30888235899233224,0.03070032464685618,-0.3690538896138577,-0.24871082837080677,8.19859053100314e-24
19,Eggs,afcfta_brdr,-0.5172479128211377,0.03953378070386699,-0.5947326991734215,-0.43976312646885385,4.081112665621473e-39
20,"Other meats, livestock products, and live animals",afcfta_brdr,-0.15060439252465546,0.031968022581403056,-0.21326056544116861,-0.08794821960814232,2.463892956513757e-6
21,Cocoa and cocoa products,afcfta_brdr,-0.3884768439941082,0.04153472662552802,-0.46988341228785996,-0.30707027570035644,8.51468665830304e-21
22,"Beverages, nec",afcfta_brdr,-0.1297065100934316,0.044327218648618195,-0.21658626217955548,-0.0428267580073077,0.003432247659454698
24,Tobacco leaves and cigarettes,afcfta_brdr,-0.24954394863938,0.020345218917373325,-0.2894198449750147,-0.2096680523037453,1.3878126235487207e-34
25,Spices,afcfta_brdr,-0.26299756980231925,0.019595001012916086,-0.30140306606466066,-0.22459207353997784,4.5144544945749405e-41
26,"Other agricultural products, nec",afcfta_brdr,-0.1174901904603464,0.019344830793396085,-0.15540536210242412,-0.07957501881826867,1.2517777265887417e-9
